"AppId","AppDisplayName","AppOwnerOrganizationId","Source"
"51b5e278-ed7e-42c6-8787-7ff93e92f577","Narada Notification Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"6d32b7f8-782e-43e0-ac47-aaad9f4eb839","Permission Service O365","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"167e2ded-f32d-49f5-8a10-308b921bc7ee","OCaaS Worker Services","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"f53895d3-095d-408f-8e93-8f94b391404e","Portfolios","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"78e7bc61-0fab-4d35-8387-09a8d2f5a59d","Yggdrasil","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"a47591ab-e23e-4ffa-9e1b-809b9067e726","Microsoft Teams User Profile Search Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0eda3b13-ddc9-4c25-b7dd-2f6ea073d6b7","Microsoft Flow CDS Integration Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"aeb86249-8ea3-49e2-900b-54cc8e308f85","M365 License Manager","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000002-0000-0ff1-ce00-000000000000","Office 365 Exchange Online","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"b55b276d-2b09-4ad2-8de5-f09cf24ffba9","Microsoft Teams - Teams And Channels Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"3bc2296e-aa22-4ed2-9e1e-946d05afa6a2","SharePoint Online Web Client Extensibility Isolated","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"b4bddae8-ab25-483e-8670-df09b9f1d0ea","Signup","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"01fc33a7-78ba-4d2f-a4b7-768e336e890e","MS-PIM","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0d38933a-0bbd-41ca-9ebd-28c4b5ba7cb7","Office365 Zoom","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"2793995e-0a7d-40d7-bd35-6968ba142197","My Apps","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"c161e42e-d4df-4a3d-9b42-e7a3c31f59d4","Microsoft Intune API","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"8adc51cc-7477-49a4-be4e-263946b4d561","MIP Exchange Solutions - ODB","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"789e8929-0390-42a2-8934-0f9dafb8ec89","Exchange Rbac","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"de247707-4e4a-47d6-89fd-3c632f870b34","CloudLicensingSystem","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"75513c96-801d-4559-830a-6754de13dd19","M365 Label Analytics","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"21a8a852-89f4-4947-a374-b26b2db3d365","IC3 Long Running Operations Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0f698dd4-f011-4d23-a33e-b36416dcb1e6","OfficeClientService","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"a150d169-7d37-47dd-9b20-156207b7b02f","MIP Exchange Solutions","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"2b479c68-8d9b-4e27-9d85-5d74803de734","Virtual Visits App","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"a3dfc3c6-2c7d-4f42-aeec-b2877f9bce97","Microsoft Azure AD Identity Protection","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"2220bbc4-4518-4fef-aac6-c6f32e9f9fd1","Customer Experience Platform PROD","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"08e18876-6177-487e-b8b5-cf950c1e598c","SharePoint Online Web Client Extensibility","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"c9224372-5534-42cb-a48b-8db4f4a3892e","MS Teams Griffin Assistant","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0a5f63c0-b750-4f38-a71c-4fc0d58b89e2","Microsoft Mobile Application Management","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000002-0000-0000-c000-000000000000","Windows Azure Active Directory","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"c728155f-7b2a-4502-a08b-b8af9b269319","AAD Request Verification Service - PROD","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"870c4f2e-85b6-4d43-bdda-6ed9a579b725","Microsoft Information Protection Sync Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"e29b5c86-b9ab-4a86-9a20-d10842007599","SharePoint Framework Azure AD Helper","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"3e36f539-fc2c-479c-90fb-3cfa21da3a4b","Power Platform Environment Discovery Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000007-0000-0ff1-ce00-000000000000","Microsoft Exchange Online Protection","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"a57aca87-cbc0-4f3c-8b9e-dc095fdc8978","IAM Supportability","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"5a807f24-c9de-44ee-a3a7-329e88a00ffc","Messaging Bot API Application","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"644c1b11-f63f-45fa-826b-a9d2801db711","CompliancePolicy","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"98db8bd6-0cc0-4e67-9de5-f187f1cd1b41","Microsoft Substrate Management","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"9e133cac-5238-4d1e-aaa0-d8ff4ca23f4e","Conferencing Virtual Assistant","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"ab3be6b7-f5df-413d-ac2d-abf1e3fd9c0b","Microsoft Teams Graph Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"63e61dc2-f593-4a6f-92b9-92e4d2c03d4f","Microsoft Intune SCCM Connector","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"dc457883-bafe-4f8b-a333-29685e7eaa9e","PPE-DataResidencyService","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"9e4a5442-a5c9-4f6f-b03f-5b9fcaaf24b1","OfficeServicesManager","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"7a274595-3618-4e6f-b54e-05bb353e0153","Teams NRT DLP Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"d73f4b35-55c9-48c7-8b10-651f6f2acb2e","MCAPI Authorization Prod","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0000000c-0000-0000-c000-000000000000","Microsoft App Access Panel","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"00000003-0000-0ff1-ce00-000000000000","Office 365 SharePoint Online","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"7df0a125-d3be-4c96-aa54-591f83ff541c","Microsoft Flow Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"18af356b-c4fd-4f52-9899-d09d21397ab7","Office365DirectorySynchronizationService","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"81473081-50b9-469a-b9d8-303109583ecb","Cortana Runtime Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0bf30f3b-4a52-48df-9a82-234910c4a086","Microsoft Graph Change Tracking","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"40775b29-2688-46b6-a3b5-b256bd04df9f","Microsoft Information Protection API","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"d8c767ef-3e9a-48c4-aef9-562696539b39","Request Approvals Read Platform","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"c830ddb0-63e6-4f22-bd71-2ad47198a23e","Microsoft To-Do","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
